"gene_id","connectivity","gene_name","is_nc","module","kTotal","kWithin","log2FC","pval","is_deg"
"ENSG00000211649",0.0618506246938597,"IGLV7-46",FALSE,6,27.6756610067598,21.158884572919,-1.46857080557152,5.69313499767402e-05,TRUE
"ENSG00000211655",0.0614094442865581,"IGLV1-36",FALSE,6,39.8332136856158,24.4673048742064,-0.940848691814094,0.0138746148996659,FALSE
"ENSG00000253883",0.0610285120507882,"IGHV3-19",FALSE,6,33.9322646079962,25.5398355194752,-0.45821704884024,0.0579821831894267,FALSE
"ENSG00000211599",0.0602196609021155,"IGKV5-2",FALSE,6,45.1040509826943,22.1803846532091,-1.32228363099166,0.00235631808882781,TRUE
"ENSG00000211593",0.0595289999417422,"IGKJ5",FALSE,6,35.0028950428544,26.6044931124213,-0.18841292063254,0.569233227031944,FALSE
"ENSG00000251039",0.0590242634959483,"IGKV2D-40",FALSE,6,28.1547279819737,24.5153467663533,-0.781252977245988,0.0516854316023288,FALSE
"ENSG00000162676",0.0548112781046159,"GFI1",FALSE,6,72.9175325590838,44.6041047609757,0.0565109708633773,0.768382925701238,FALSE
"ENSG00000229228",0.0539844226903864,"LINC00582",TRUE,6,31.9368475369602,21.9321994036386,-0.677283572596649,0.0149887859892222,FALSE
"ENSG00000211642",0.0536014722187896,"IGLV10-54",FALSE,6,31.272628162948,16.6391142575656,-1.54848966100878,0.000225887781721279,TRUE
"ENSG00000117090",0.0525882758568865,"SLAMF1",FALSE,6,70.7340741821723,46.8470472849867,0.129125333932542,0.594319970066398,FALSE
"ENSG00000253742",0.0516059716373862,"IGHV3-60",FALSE,6,28.5806218073494,23.5973222724041,-0.562685983369792,0.0342362660803429,FALSE
"ENSG00000211958",0.0497063646531653,"IGHV3-38",FALSE,6,28.5993392969039,20.652612159258,-0.675296805260936,0.0366963656570068,FALSE
"ENSG00000211968",0.0489374327699597,"IGHV1-58",FALSE,6,27.6099431579444,20.5227706661075,-0.948441473571889,0.010295373787222,FALSE
"ENSG00000258733",0.0486709135835383,"LINC02328",TRUE,6,104.242033204412,8.13021867256348,-0.905931003814769,5.5970010883424e-12,FALSE
"ENSG00000198851",0.0466855312109506,"CD3E",FALSE,6,64.0075764522224,46.9530749932349,0.069992979731806,0.769528832607404,FALSE
"ENSG00000229092",0.0466019257675226,"IGHV3-47",FALSE,6,28.8127665685542,18.0676505581141,-0.7040117298429,0.0302198069093983,FALSE
"ENSG00000211656",0.0461471534887633,"IGLV2-33",FALSE,6,28.4970991285636,17.8734302909032,-0.289250832545791,0.182230542253052,FALSE
"ENSG00000181036",0.045971737423446,"FCRL6",FALSE,6,63.1920419178555,24.5281669065481,-0.530764221927395,0.00157807891005194,FALSE
"ENSG00000168918",0.0457056152736444,"INPP5D",FALSE,6,81.3858296085776,19.393785711248,-0.654346150165097,2.62006899571325e-10,FALSE
"ENSG00000185905",0.04552423679506,"C16orf54",FALSE,6,48.0611524092843,14.8914368975476,-0.907622150042655,6.49070503221745e-07,FALSE
"ENSG00000244509",0.0448224167134571,"APOBEC3C",FALSE,6,94.7674505188157,13.7664913915636,-1.12125021361253,7.85839694456424e-20,TRUE
"ENSG00000211644",0.0446222551770865,"IGLV1-51",FALSE,6,29.81936088478,18.4211306484069,-0.839760046563117,0.00400421103322098,FALSE
"ENSG00000100628",0.0440510253154661,"ASB2",FALSE,6,37.8329770476355,20.8633023839817,-0.676575534643332,0.000113316836374559,FALSE
"ENSG00000113263",0.043688252112519,"ITK",FALSE,6,61.7414961291919,40.6467325045546,0.217864704396481,0.276833868371543,FALSE
"ENSG00000242472",0.0432678845311372,"IGHJ5",FALSE,6,34.8674452524013,24.6044192397132,-0.254176182841976,0.242273210037551,FALSE
"ENSG00000138378",0.0429112319366586,"STAT4",FALSE,6,57.1435492104735,15.5565361134265,-0.503644905980511,0.000721643460935696,FALSE
"ENSG00000211665",0.0418837840426739,"IGLV3-16",FALSE,6,25.6005520307667,16.5868996884002,-0.635129580774726,0.0342590209123221,FALSE
"ENSG00000211676",0.0417759985647731,"IGLJ2",FALSE,6,9.60509620090494,7.95324184202994,0.133717752633831,0.450614730870389,FALSE
"ENSG00000177272",0.041433967939188,"KCNA3",FALSE,6,50.1233613087357,22.6722565150409,-0.494566708822378,0.0125095516823194,FALSE
"ENSG00000211961",0.0414212982766836,"IGHV1-45",FALSE,6,36.0538659912273,16.0329557399439,-1.41451515748331,5.11694335637442e-05,TRUE
"ENSG00000167286",0.0412492193220059,"CD3D",FALSE,6,57.4295245822721,43.3037525291318,0.192593441089867,0.427908857179498,FALSE
"ENSG00000230481",0.0407657285546396,"IGKV1OR22-5",FALSE,6,23.4265818776298,17.6877155482926,-0.331241082485491,0.310670021084569,FALSE
"ENSG00000286848",0.0402572993230421,"AC009570",TRUE,6,44.9237696809383,13.5263884875982,-1.57638613375098,1.09145899301825e-08,TRUE
"ENSG00000211685",0.0397025699315553,"IGLC7",FALSE,6,14.0203181902906,10.9351084641673,-1.05059680522939,0.00848678552961877,TRUE
"ENSG00000211595",0.0395930383604693,"IGKJ3",FALSE,6,24.6326437967908,17.2973521861675,-0.11643154974537,0.724479210520231,FALSE
"ENSG00000211645",0.0394984525282311,"IGLV1-50",FALSE,6,27.2532221079022,16.4400893453242,-0.652844219952818,0.0124366481393817,FALSE
"ENSG00000267074",0.0393367045314682,"AC015911",TRUE,6,37.7502386361161,13.9660502799297,-0.798190873441923,0.000163234277094676,FALSE
"ENSG00000253460",0.038916892937603,"IGKV2OR22-3",FALSE,6,10.6667251178574,9.52840661265367,-0.494697083932728,0.0941603804404877,FALSE
"ENSG00000101082",0.0388161386117455,"SLA2",FALSE,6,66.0971393933877,44.648341064366,0.510809205162884,0.00431869517705944,FALSE
"ENSG00000211667",0.0387942360094948,"IGLV3-12",FALSE,6,15.5425333810663,11.2750117615414,0.134493901712437,0.568817082082829,FALSE
"ENSG00000224607",0.0386582194819347,"IGKV1D-27",FALSE,6,20.3167861352696,16.0285582776467,-1.03468394454158,0.00227953663225657,TRUE
"ENSG00000270318",0.0385559624348391,"IGHV3OR16-11",FALSE,6,22.0920921854328,17.2874294504486,-0.279448173024383,0.300394801979528,FALSE
